Title,Brand,Screen_Size,Ram,Series,Rating,Color,Chipset,Wireless,Weight,No_of_Processor,Flash_Memory,Battery,No_of_Reviews,Price
"Newest Samsung Chromebook 4 11.6” Laptop Computer for Business Student, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 32GB eMMC, Webcam, WiFi, Bluetooth, USB Type-C , Chrome OS, Silver+JVQ MP",SAMSUNG,116 Inches,4 GB LPDDR4,Samsung 11 chromebook,4.5 out of 5 stars,Silver,Intel,80111ac,26 pounds,2,32 GB,1 Lithium Ion batteries required included,95 ratings,$179.00
"SAMSUNG 2022 14” FHD(1920 x 1080) Laptop, Windows 11 OS, Qualcomm Octa Core Snapdragon Processor 2.55GHz, 4GB LPDDR4x, 64GB SSD (Renewed)",SAMSUNG,14 Inches,Qualcomm,Samsung,4.0 out of 5 stars,None,Qualcomm,Bluetooth,34 pounds,1,64 GB,1 Lithium Ion batteries required included,204 ratings,nan
"Samsung Galaxy Chromebook Go-Laptop Computer Lightweight Slim Durable Design 12-Hour-Battery Wi-Fi 6 Share Files-with-Phone, Black,Silver,32GB",SAMSUNG,14 Inches,32 GB,Chromebook Go,4.2 out of 5 stars,Silver,Intel,Bluetooth 80211ax,32 pounds,1,32 GB,1 Lithium Ion batteries required included,187 ratings,$212.83
"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",SAMSUNG,156 Inches,512 GB SSD,Galaxy Book2 Pro 156 i716G512G Graphite,4.3 out of 5 stars,Graphite,Intel,Bluetooth,245 pounds,1,512 GB,1 Lithium Ion batteries required included,206 ratings,"$1,114.07"
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464",MSI,156 Inches,3200 MHz,Pulse GL66,4.4 out of 5 stars,Black,NVIDIA,Bluetooth,868 pounds,1,512 GB,1 Lithium Polymer batteries required included,129 ratings,"$1,289.96"
"ASUS ProArt StudioBook Pro 16 OLED Laptop, 16” 3840x2400 OLED Display, Intel Core i9-12900H CPU, 32GB DDR4, 2TB PCIe SSD, Nvidia RTX A3000, Windows 11 Pro, W7600Z3A-XB96, Mineral Black",ASUS,16 Inches,1 TB SSD,ASUS ProArt StudioBook Pro 16 OLED,4.6 out of 5 stars,Black,NVIDIA,Bluetooth 80211ax,529 pounds,14,1 TB,1 Lithium Ion batteries required included,4 ratings,nan
Samsung Chromebook 4 Chrome OS 11.6-inch HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US (Renewed),SAMSUNG,116 Inches,2133 GHz,Samsung Chromebook,4.5 out of 5 stars,Silver,Intel,80111ac,37 pounds,1,None,1 Lithium Ion batteries required,"1,692 ratings",nan
"EXCaliberPC 2022 MSI Creator Z16P B12UHT-041 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080 8GB, 16"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,NVIDIA GeForce RTX 3080,Creator Z16P B12UHT,nan,32GB RAM,NVIDIA,Bluetooth,527 pounds,14,None,None,nan,"$3,049.00"
"EXCaliberPC 2022 MSI Titan GT77 12UGS-009 (i7-12800HX, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,173 Inches,NVIDIA GeForce RTX 3070 Ti,Titan GT77 12UGS,5.0 out of 5 stars,32GB RAM,NVIDIA,None,682 pounds,16,32 GB,None,1 rating,"$2,599.00"
"Lenovo Ideapad 1i Thin Light Laptop, 14.0"" HD Display, Intel Celeron N4020(up to 2.80 GHz), 4GB RAM, 64GB eMMC + 128GB PCIe SSD, WiFi 6, Webcam, 10Hr Battery, Windows 11 S, Cloud Grey",Lenovo,14,11 GHz,Lenovo Ideapad 1i,2.9 out of 5 stars,Silver,Intel,Bluetooth 80211ax,439 pounds,2,64 GB,1 Lithium Ion batteries required,3 ratings,$219.00
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",Acer,156 Inches,41 GHz,A5155632DK,4.3 out of 5 stars,Silver,Intel,80211ax,548 pounds,2,128 GB,1 Lithium Ion batteries required included,"4,029 ratings",$269.99
"ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6"" 144Hz FHD, GeForce RTX 3050 Ti, Intel Core i7-11370H, 8GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Eclipse Grey Color, TUF516PE-AB73",ASUS,156 Inches,8 GB DDR4,TUF Dash 15 2021,4.5 out of 5 stars,Eclipse Grey,NVIDIA,Bluetooth 80211ax,441 pounds,8,512,1 Lithium Ion batteries required included,"1,314 ratings",$890.99
"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",Acer,156 Inches,3200 MHz,AN5155779TD,4.5 out of 5 stars,Black,NVIDIA,80211ax,48 pounds,8,512 GB,1 Lithium Ion batteries required included,"5,215 ratings",$809.00
"Apple MacBook Pro with Intel Core i5, 2.8GHz, (13.3-inches, 8GB, 512GB SSD) - Silver (Renewed)",Apple,133 Inches,512 GB SSD,None,4.3 out of 5 stars,None,Intel,80211a,346 pounds,2,512 GB,1 Lithium Ion batteries required,31 ratings,nan
"ASUS 2020 VivoBook 15 15.6 Inch FHD 1080P Laptop (AMD Ryzen 3 3200U up to 3.5GHz, 16GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, Backlit Keyboard, FP Reader, WiFi, Bluetooth, HDMI, Windows 10) (Grey)",ASUS,156 Inches,16 GB DDR4,ASUS,4.3 out of 5 stars,Black,AMD,80211ac,38 pounds,2,256 GB,1 Lithium Metal batteries required included,577 ratings,$359.00
