Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Series,Color,Resolution,Weight,USB,Battery,Graphics,Disk_size,Card_desc,Price
Microsoft Surface Laptop Intel Core i5 7th Gen 8GB RAM 256GB SSD Win 10 Platinum (Renewed),Microsoft,13.5 Inches,1.2GHz Cortex A8 Processor,8 GB,Windows 10,4.4,Intel,Platinum,nan,nan,nan,nan,Intel HD Graphics 620,256 GB,Integrated,nan
"Microsoft Surface Laptop 3 13.5"" Touch-Screen Intel Core i5-8GB Memory - 256GB Solid State Drive (Latest Model) Matte Black (Renewed)",Microsoft,13.5 Inches,Core i5,8 GB,Windows 10,4.4,Microsoft Surface,Matte Black,nan,nan,nan,nan,nan,nan,nan,nan
"Microsoft Surface Laptop (Intel Core i7, 16GB RAM, 512GB) - Platinum (Renewed)",Microsoft,13.5 Inches,Core i7,16 GB,Windows 10 S,3.9,Surface Laptop,Platinum,nan,nan,nan,nan,Intel Iris Plus Graphics 640,512 GB,Integrated,nan
"Microsoft Surface Laptop 3, 10th Gen Intel Core i5 (13.5-inch Touchscreen - 8GB Memory - 256GB SSD) - Blue (Renewed Premium)",Microsoft,13 Inches,Core i5-1035G7,8 GB,Windows 10 Home,4.2,Surface Laptop 3,Cobalt Blue,nan,nan,nan,nan,Intel Iris Plus,nan,Integrated,nan
"2022 Microsoft Surface Laptop Go 12.4"" Touchscreen, Intel Core i5-1035G1 Processor, Up to 13Hr Battery Life, WiFi, Webcam, Windows 11 Pro, Platinum Silver (4GB RAM | 256GB SSD)",Microsoft,12.4 Inches,Core i5,4 GB,Windows 11 Pro,3.9,Surface Laptop Go,Silver,nan,nan,nan,nan,nan,256 GB,Integrated,$359.99
"HP 14in High Performance Laptop (AMD Ryzen 3 3200U 2.6GHz up to 3.5GHz, AMD Radeon Vega 3 Graphics, 4GB DDR4 RAM, 128GB SSD, WiFi, Bluetooth, HDMI, Windows 10(Renewed)",HP,14 Inches,Ryzen 3 2300U,4 GB,Windows 10,4.3,Notebook,Silver,nan,nan,nan,nan,AMD Radeon Vega 3,128 GB,Integrated,nan
"HP Envy 34” All-in-One Desktop, NVIDIA GeForce GTX 1650, 11th Gen Intel Core i7-11700 Processor, 32 GB RAM, 512 GB SSD, WUHD IPS Display, Windows 11 Home, Detachable Magnetic Camera (34-c0010, 2021)",HP,34 Inches,Intel Core i7-11700,32 GB,Windows 11 Home,4.4,HP ENVY 34 inch All-in-One Desktop 34-c0010,nan,nan,nan,nan,nan,nan,nan,nan,"$2,167.00"
"Dell Latitude 3510 Business Laptop Black (Intel i5-1135G7 4-Core, 16GB RAM, 256GB PCIe SSD, Intel UHD, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, Webcam, 1xUSB 3.2, 1xHDMI, SD Card, Win 10 Pro)",Dell,15.6 Inches,Intel Core i5-1135G7,16 GB,Windows 10 Pro,4.3,Latitude 3510,Black,nan,nan,nan,nan,Intel UHD Graphics,256 GB,Integrated,$818.00
"MSI Bravo 15 15.6"" 144Hz Gaming Laptop: AMD Ryzen R5-5600H, RX 5500M, 16GB, 512GB NVMe SSD, Win11 (B5DD-243)",MSI,15.6 Inches,Ryzen 5,16 GB,Windows 11,4.5,Bravo 15 B5DD-243,Aluminum Black,nan,nan,nan,nan,nan,512 GB,RX 5500M,$699.00
"MSI Latest GE76 Raider Gaming Laptop | 17.3"" 144 Hz FHD Display | Intel 14-Core i9-12900H | 64GB DDR5 2TB SSD | NVIDIA RTX3060 | WiFi 6 | HDMI | RJ45 | Thunberbolt4 | Backlit KB RGB | DTS | Win11 Pro",MSI,17.3 Inches,Intel Core i9,64 GB,Windows 11 Pro,5.0,GE76-12UE,Titanium Blue,nan,nan,nan,nan,nan,2 TB,Dedicated,"$2,449.99"
