Title,Brand,Screen_Size,Ram,Rating,Disk_size,Price_dollar,Price_npr
"2022 Microsoft Surface Laptop Go 12.4"" Touchscreen, Intel Core i5-1035G1 Processor, Up to 13Hr Battery Life, WiFi, Webcam, Windows 11 Pro, Platinum Silver (4GB RAM | 256GB SSD)",Microsoft,12.4,4.0,3.9,256.0,359.99,47774.2729
"Dell Latitude 3510 Business Laptop Black (Intel i5-1135G7 4-Core, 16GB RAM, 256GB PCIe SSD, Intel UHD, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, Webcam, 1xUSB 3.2, 1xHDMI, SD Card, Win 10 Pro)",Dell,15.6,16.0,4.3,256.0,818.0,108556.78000000001
"MSI Bravo 15 15.6"" 144Hz Gaming Laptop: AMD Ryzen R5-5600H, RX 5500M, 16GB, 512GB NVMe SSD, Win11 (B5DD-243)",MSI,15.6,16.0,4.5,512.0,699.0,92764.29000000001
"MSI Latest GE76 Raider Gaming Laptop | 17.3"" 144 Hz FHD Display | Intel 14-Core i9-12900H | 64GB DDR5 2TB SSD | NVIDIA RTX3060 | WiFi 6 | HDMI | RJ45 | Thunberbolt4 | Backlit KB RGB | DTS | Win11 Pro",MSI,17.3,64.0,5.0,2048.0,2449.99,325138.1729
"Alienware m15 15.6"" Gaming Notebook i7-8750H 16GB RAM 1TB HHD 8GB SSHD Black",Alienware,17.3,16.0,5.0,1024.0,1799.95,238871.36450000003
"EXCaliberPC 2022 MSI Pulse GL76 12UGK-256 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3070 8GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3,16.0,4.1,512.0,1699.0,225474.29
"EXCaliberPC 2022 MSI Raider GE76 12UH-655 Pro Extreme (i9-12900HK, 64GB RAM, 3TB NVMe SSD, RTX 3080 8GB, 17.3"" 144Hz FHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,64.0,5.0,3072.0,4345.0,576624.9500000001
"EXCaliberPC 2022 ASUS ROG Strix Scar 15 G533ZM-ES93 (i9-12900H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 300Hz 3ms, Windows 11) Gaming Notebook",EXCaliberPC,15.6,16.0,5.0,512.0,1799.0,238745.29
"2022 MSI Titan GT77 12UGS-009 (i7-12800HX, 32GB RAM, 4TB Platinum P41 NVMe SSD, RTX 3070Ti 8GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,32.0,5.0,4096.0,3295.0,437279.45
"GIGABYTE A5 X1 - 15.6"" FHD IPS Anti-Glare 240Hz - AMD Ryzen™ 9 5900HX - NVIDIA GeForce RTX 3070 Laptop GPU 8 GB GDDR6 - 16 GB Memory - 512 GB PCIe SSD - Win 11 Home - Gaming Laptop (A5 X1-CUS2130SB)",GIGABYTE,15.6,16.0,4.1,512.0,1399.0,185661.29
"Panasonic Toughbook CF-53SJCZYLM Laptop (Windows 7, Intel Core i5-3439Y, 14"" LED-lit Screen, Storage: 320 GB, RAM: 4 GB) Silver",Panasonic,14.0,4.0,3.1,320.0,1949.99,258783.1729
"MSI GF63 Thin Gaming Laptop, 15.6"" FHD IPS Display, 11th Gen 6-Core i5-11400H, GeForce GTX 1650, 16GB RAM, 1TB PCIe SSD+1TB HDD, USB-C, HDMI, RJ45, WiFi 6, Backlit, SPS HDMI Cable, Win 11",MSI,15.6,16.0,5.0,1024.0,689.99,91568.57290000001
"2022 MSI Raider GE66 12UHS-235 Pro Extreme (i9-12900HK, 64GB RAM, 4TB NVMe SSD, RTX 3080Ti 16GB, 15.6"" 4K UHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6,64.0,5.0,4096.0,4595.0,609802.4500000001
"MSI GS76 Stealth 17.3"" FHD 360Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i9-11900H RTX3070 32GB 1TB NVMe SSD Win11 VR Ready - Black (11UG-653)",MSI,17.3,32.0,5.0,1024.0,1899.0,252016.29
"2022 MSI Creator Z17 A12UHT-048 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3080 8GB, 17"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17.0,64.0,0.0,4096.0,5195.0,689428.4500000001
"2022 MSI CreatorPro M16 A12UJS-458 (i7-12700H, 64GB RAM, 1TB NVMe SSD, Quadro RTX A2000 8GB, 16"" QHD+, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16.0,64.0,0.0,1024.0,2319.0,307754.49
"2021 MSI GF63 Thin Gaming 15.6"" FHD Laptop Computer, Intel Core i5-10300H (Beats i7-9750H), 32GB RAM, 1TB PCIe SSD, Backlit Keyboard, GeForce GTX 1650 MaxQ, HD Webcam, Win 10, Black, 32GB USB Card",MSI,15.6,32.0,4.2,1024.0,799.0,106035.29000000001
